61;10 rings, 2-3"diameter, battered & fried, no dip;1;Serving;60;197;12;2;-1;21;19;1;3;4;283
62;Danish, apple;1;Each;94;335;16;3;-1;19;45;-1;-1;5;333
63;2" x 2" x 2.5" piece;1;Each;78;336;23;9;-1;36;29;2;-1;5;293
64;12-14" letter;1;Each;126;510;36;18;-1;115;44;2;40;5;213
65;1/8 of 9" pie, apple;1;Serving;155;411;19;5;-1;0;58;-1;-1;4;327
66;PB&J with grapes on a stick (not fried) ;1;Serving;157;476;18;4;0;0;69;4;29;13;467
67;Pickle, kosher dill, large, 4" long, not fried;1;Each;135;16;0;0;0;0;4;1;2;1;1181
68;1/8 of 14" thick crust, pepperoni;1;Piece;106;301;13;5;-1;30;32;2;3;13;654
69;;4;Ounces;113;180;9;4;-1;60;2;0;0;22;1220
70;lightly salted;7;Cup;77;385;22;4;-1;0;44;8;-1;7;681
71;Center loin, lean, pan fried, ckd wt;8;Ounces;199;388;15;5;0;127;0;0;0;59;197
72;1/2 of 2-3" potato with cheddar & bacon;1;Skin ;42;167;8;3;-1;15;18;3;1;6;214
73;Large (5oz) soft pretzel, salted;1;Each;143;483;4;1;-1;4;99;2;0;12;1151
74;9" diameter, pwd sugar, 2.5 Tbsp bacon, 1/3c icing;1;Each;471;1570;75;15;-1;258;18;4;69;36;1175
75;Soda;16;Ounces;493;202;0;0;0;0;52;0;52;0;64
76;1/2 c tuna salad in 10" tortilla with lettuce;1;Wrap;191;412;15;3;-1;13;46;2;2;22;858
77;Salad, tossed, veg, w/o dressing;2;Cup;276;44;0;0;0;0;9;-1;-1;3;72
78;3 oz beef with vegetables, grilled;1;Kabob;202;176;5;2;-1;59;8;2;5;23;570
79;5 jumbo shrimp, grilled, not breaded;6;Ounces;170;203;3;0;0;344;0;0;0;43;486
80;Fruit flavored slushie;16;Ounces;545;320;1;0;0;5;75;3;67;6;80
81;;16;Ounces;190;243;0;0;0;0;62;0;62;1;42
82;4 oz steak, bun, 1 Tbsp mayo, lettuce, tomato;1;Sandwich;271;546;18;5;-1;115;51;2;7;44;650
83;biscuit, 2 scps ice cream, 1/2c frt tpg, whp tpg;1;Serving;374;933;23;16;-1;60;172;3;92;9;632
84;;16;Ounces;0;0;0;0;0;0;0;0;0;0;0
85;25 strips, 3-4" long;1;Serving;-1;460;26;7;-1;15;55;6;20;3;340
86;lettuce, chip strips, beans and toppings;1;Serving;264;372;20;9;0;58;31;0;0;18;1016
87;5 oz breaded pork loin, large bun, no condiments;1;Sandwich;304;801;31;6;0;194;67;3;7;59;1121
88;Turkey, leg, w/skin, grilled;1;Each;546;1136;54;17;-1;464;1;0;0;127;420
89;5 oz turkey, large bun, no condiments;1;Sandwich;211;423;10;3;-1;98;33;2;3;49;411
90;grilled mixed veg;1;Serving;-1;80;1;0;-1;0;19;3;6;2;75
91;3 oz beef, 3 tbsp cheese, veg, chips, sour cream;1;Serving;231;470;33;13;1;90;23;3;4;21;1226
92;Wine;5;Ounces;148;123;0;0;0;0;4;0;1;0;7
93;10" wrap, 2 oz meat, 3 tbsp cheese, veg, mayo;1;Serving;256;720;50;13;0;84;39;3;3;27;846
94;3-4 oz chicken, battered & fried, 1 tbsp sauce;1;Serving;133;386;25;5;0;100;12;0;1;27;606
95;3" apple, 1/4 cup caramel & 1/4 cup nuts;1;Serving;299;619;26;5;0;6;93;8;73;14;315
96;3 marshmallows with 2 Tbsp caramel;1;Serving;72;262;4;1;-1;4;56;0;46;3;141
97;5 oz battered & fried chicken breast w roll;1;Serving;185;510;26;6;0;110;35;1;2;35;1090
98;battered & fried with powdered sugar ;1;Each;81;273;11;2;1;35;39;1;19;5;157
99;2 oz candy bar, battered & fried;1;Each;163;600;24;10;0;68;86;1;49;10;214
100;2 oz candy bar, battered & fried;1;Each;162;616;28;8;0;70;79;2;43;12;253
101;battered & fried w/ choc sauce & pwd sugar ;1;Each;143;490;15;3;1;55;84;1;51;7;306
102;1/2 stick butter, battered & fried w/ glaze;1;Each;139;729;59;33;2;127;48;1;31;4;707
103;4" pickle, battered & fried;1;Each;63;100;4;1;0;13;14;1;1;2;496
104;2 pizzelles, 1 oz marshmallow, 1 oz choc ;1;Serving;79;350;16;7;0;43;51;1;35;5;76
105;1/2 of 7" waffle, 1/4 c choc, whpd top, sprinkles;1;Serving;138;502;33;16;-1;42;54;4;32;6;255
106;4 oz grilled pork, no bun or condiments;4;Ounces;113;212;7;3;-1;107;0;0;0;35;74
107;4 oz sausage;4;Ounces;113;180;9;4;-1;60;2;0;0;22;1220
108;4 oz bologna, no bun or condiments;4;Ounces;113;240;16;6;-1;90;2;0;0;22;980
109;4 oz grilled lamb, lean, cooked wt;4;Ounces;113;234;11;4;-1;104;0;0;0;32;86
110;7-8" banana with 1/4 c chocolate;1;Serving;196;380;3;0;0;0;90;3;69;4;42
111;1/4 lb hotdog and 1/2 c mac-n-cheese;1;Serving;233;582;40;15;-1;65;34;1;10;20;1696
112;4" pickle battered & fried;1;Serving;63;99;3;0;0;12;13;1;1;2;495
113;3.5" pineapple spear, battered and fried;1;Serving;234;510;22;4;0;95;67;3;20;12;177
114;9 oz grilled pork, cooked wt;1;Each;157;381;21;8;0;127;0;0;0;44;115
115;Pretzel rod, 3 tbsp caramel and 2 tbsp nuts;1;Each;85;339;15;5;0;15;46;2;22;8;351
116;1 oz hard candy;1;Ounce;28;112;0;0;0;0;28;0;18;0;10
117;Lettuce, cucumber, carrot, pepper, tomato;1;Serving;90;18;0;0;0;0;4;1;2;1;12
118;4 oz seasoned, grilled chicken breast, w/o skin;4;Ounces;113;168;4;1;0;101;0;0;0;33;387
119;4-6 breaded & fried shrimp;1;Serving;159;514;30;6;0;137;38;2;2;23;1135
120;;1;Ounce;28;113;1;1;0;3;26;0;19;0;15
121;4 oz steak with teriyaki sauce;1;Serving;113;201;9;3;-1;70;5;0;-1;23;644
122;4 oz grilled light meat turkey, w/o skin;1;Serving;113;178;4;1;-1;78;0;0;0;34;73
123;Twinkie with white choc & cashews;1;Each;79;365;19;7;1;22;44;1;29;5;284
124;corndog, meatless;1;Each;71;150;4;1;0;0;22;3;4;7;500
125;3 oz beef, 1 1/4 c mash pot, cheese, tomato;1;Serving;510;534;15;7;0;104;53;0;0;46;1326
126;7-8 oz prime rib, med bkd pot & 1/2 c slaw;1;Serving;476;1164;83;32;0;179;51;5;14;51;341
127;3 oz beef, chse, let, salsa, 1 oz chips, 1 T sr crm;1;Serving;230;470;32;13;0;89;23;2;3;21;1225
128;3 oz beef, cheese, salsa, 1 tbsp sour crm;1;Serving;261;600;37;16;0;90;43;4;3;23;1281
129;turkey sausage in pancake, pwd sugar & 1/4 c syrup;1;Each;154;367;6;2;0;15;73;1;28;7;436
130;5" hotdog, 1 slc bacon, bacon-bit batter fried;1;Each;143;498;32;10;-1;77;34;2;3;19;1605
131;3"x3"x 2" bar, oreo crust, 2 Tbsp choc fudge;1;Each;235;664;29;15;-1;55;90;-1;48;12;546
132;Cannoli, 1 T choc chips & 1 oz choc dip;1;Cannoli;131;466;25;14;-1;38;41;2;25;10;66
133;1 oz cookie dough w/ 1 Tbsp chocolate dip;1;Pop;43;206;11;5;-1;10;24;1;-1;2;71
134;10 oz strawberry smoothie;10;ounce;284;192;1;0;0;2;45;4;42;4;42
135;2" square, battered & fried, pwd sugar & choc syrup;1;Each;110;370;14;3;0;2;57;2;28;6;180
136;Large (5 oz) soft pretzel, 2 Tbsp choc sauce, 1.5 Tbsp almonds;1;Each;180;685;18;7;0;4;118;3;16;15;1750
137;1/4 c macaroon, 2 Tbsp dipping chocolate;1;Each;65;275;13;9;0;0;46;3;40;3;100
138;2.5 oz pork, 1/4 c slaw & beans, chip, waffle cone, bbq sauce;1;Serving;245;520;19;4;0;65;59;6;27;27;730
139;2.5 oz pork, 3 slice bacon, 2 Tbsp bbq sauce;1;Each;126;350;21;7;0;92;12;0;8;28;850
140;3 jumbo shrimp, corn battered & deep fried, w/ sauce;1;Serving;100;195;6;1;0;103;22;2;7;12;700
141;3 oz bratwurst, pretzel bun, mustard and saurkraut;1;Each;205;497;30;9;0;63;39;2;4;17;1275
